,sample_id,inhibitor,auc
0,11-00261,AKT Inhibitor IV,109.414834926546
1,11-00261,AKT Inhibitor X,183.984148747299
2,11-00261,AMPK Inhibitor,183.478483042527
3,11-00261,AST-487,242.784601823893
4,11-00261,AZD1152-HQPA (AZD2811),188.768480141653
5,11-00261,Alisertib (MLN8237),222.464332828321
6,11-00261,Bortezomib (Velcade),242.618613295676
7,11-00261,CYT387,206.676680929024
8,11-00261,Canertinib (CI-1033),223.889131891231
9,11-00261,Crenolanib,198.253881094936
11,11-00261,Doramapimod (BIRB 796),278.162098565941
12,11-00261,Dovitinib (CHIR-258),112.358148657922
13,11-00261,Erlotinib,135.657623241108
14,11-00261,Flavopiridol,232.28660722428
15,11-00261,GDC-0941,148.398381113419
16,11-00261,GW-2580,171.004762464027
17,11-00261,Gefitinib,150.184136892556
18,11-00261,Go6976,206.513603319603
19,11-00261,H-89,214.094483934447
20,11-00261,INK-128,167.711273279839
21,11-00261,Idelalisib,281.879970110768
22,11-00261,Imatinib,138.659819941286
23,11-00261,JAK Inhibitor I,159.700822407121
24,11-00261,JNJ-7706621,203.31362588663
25,11-00261,JNK Inhibitor II,211.809564121035
26,11-00261,KN92,242.514390546133
27,11-00261,KN93,269.977869190389
28,11-00261,LY-333531,158.972671008795
29,11-00261,LY294002,215.959770965395
30,11-00261,Lapatinib,150.102765092997
31,11-00261,Linifanib (ABT-869),203.690488772992
32,11-00261,MEK1/2 Inhibitor,275.635543644644
33,11-00261,Midostaurin,178.5568994001
34,11-00261,Motesanib (AMG-706),181.99937256933
35,11-00261,NF-kB Activation Inhibitor,121.143934467808
37,11-00261,PD153035,153.047299090552
38,11-00261,PD98059,257.959049956938
39,11-00261,PI-103,113.73240836633
40,11-00261,PP2,168.435570793704
41,11-00261,PRT062070,91.7375045824205
42,11-00261,Pazopanib (GW786034),116.812585801794
43,11-00261,Pelitinib (EKB-569),103.691735405399
45,11-00261,Quizartinib (AC220),119.639392625776
46,11-00261,R406,126.495329348975
47,11-00261,RAF265 (CHIR-265),89.6077554152791
48,11-00261,Rapamycin,236.378406066597
49,11-00261,Roscovitine (CYC-202),234.664724221929
50,11-00261,SB-202190,277.441679107163
51,11-00261,SB-203580,239.539909604519
52,11-00261,SB-431542,205.000342702816
53,11-00261,SNS-032 (BMS-387032),138.391003933883
54,11-00261,STO609,278.768513926342
55,11-00261,SU14813,92.3637802252288
56,11-00261,SYK Inhibitor,183.464473827876
57,11-00261,Sorafenib,227.353785011013
59,11-00261,Tandutinib (MLN518),179.147537785986
60,11-00261,Tofacitinib (CP-690550),272.938049950475
