,Argonne_ID,DepMap_ID,cell_line_name,stripped_cell_line_name,CCLE_Name,Manual_edit
0,CCLE.SLR21,ACH-000016,SLR 21,SLR21,SLR21_KIDNEY,
1,CCLE.MHHCALL3,ACH-000032,MHH-CALL-3,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
2,CTRP.MHH-CALL-3,ACH-000032,MHH-CALL-3,MHHCALL3,MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
3,CCLE.NCIH1819,ACH-000033,NCI-H1819,NCIH1819,NCIH1819_LUNG,
4,CCLE.HS895T,ACH-000043,Hs 895.T,HS895T,HS895T_FIBROBLAST,
5,CTRP.Hs-895-T,ACH-000043,Hs 895.T,HS895T,HS895T_FIBROBLAST,
6,CCLE.HEKTE,ACH-000049,HEK TE,HEKTE,HEKTE_KIDNEY,
7,CCLE.TE617T,ACH-000051,TE 617.T,TE617T,TE617T_SOFT_TISSUE,
8,CTRP.TE-617-T,ACH-000051,TE 617.T,TE617T,TE617T_SOFT_TISSUE,
9,CCLE.SALE,ACH-000064,SALE,SALE,SALE_LUNG,
10,CCLE.REC1,ACH-000068,REC-1,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
11,CTRP.REC-1,ACH-000068,REC-1,REC1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
12,CCLE.HS706T,ACH-000071,,HS706T,HS706T_BONE,
13,CCLE.NCO2,ACH-000076,NCO2,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
14,CTRP.NCO2,ACH-000076,NCO2,NCO2,NCO2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
15,CCLE.MJ,ACH-000077,MJ,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
16,CTRP.MJ,ACH-000077,MJ,MJ,MJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
17,CCLE.TE125T,ACH-000079,TE 125.T,TE125T,TE125T_FIBROBLAST,
18,CCLE.MUTZ3,ACH-000084,,MUTZ3,MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
19,CCLE.NCIH684,ACH-000089,NCI-H684,NCIH684,NCIH684_LARGE_INTESTINE,
20,CCLE.PANC0504,ACH-000093,Panc 05.04,PANC0504,PANC0504_PANCREAS,
21,CTRP.Panc-05-04,ACH-000093,Panc 05.04,PANC0504,PANC0504_PANCREAS,
22,CCLE.NCCSTCK140,ACH-000110,NCC-StC-K140,NCCSTCK140,NCCSTCK140_STOMACH,
23,CTRP.NCC-StC-K140,ACH-000110,NCC-StC-K140,NCCSTCK140,NCCSTCK140_STOMACH,
24,CCLE.HS863T,ACH-000119,Hs 863.T,HS863T,HS863T_FIBROBLAST,
25,CCLE.SUPT11,ACH-000122,SUP-T11,SUPT11,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
26,CTRP.SUP-T11,ACH-000122,SUP-T11,SUPT11,SUPT11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
27,CCLE.TO175T,ACH-000125,TO 175.T,TO175T,TO175T_FIBROBLAST,
28,CCLE.NALM19,ACH-000130,NALM-19,NALM19,NALM19_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
29,CCLE.PFEIFFER,ACH-000140,Pfeiffer,PFEIFFER,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
30,CTRP.Pfeiffer,ACH-000140,Pfeiffer,PFEIFFER,PFEIFFER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
31,CCLE.HS888T,ACH-000154,HS888T,HS888T,HS888T_FIBROBLAST,
32,CTRP.Hs-888-T,ACH-000154,HS888T,HS888T,HS888T_FIBROBLAST,
33,CCLE.OCILY3,ACH-000158,OCI-LY3,OCILY3,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
34,CTRP.OCI-LY3,ACH-000158,OCI-LY3,OCILY3,OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
35,CCLE.HS751T,ACH-000165,,HS751T,HS751T_FIBROBLAST,
36,CCLE.KASUMI6,ACH-000166,Kasumi-6,KASUMI6,KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,
