dataset,sample_drug_pairs,sample_drug_transcript_pairs,sample_drug_transcriptomics_mutation_pairs,sample_drug_transcriptomics_copynumber_pairs,sample_drug_mutation_copynumber_pairs
beataml,31926.0,4137.0,3958.0,,
bladder,3300.0,840.0,640.0,640.0,3100.0
ccle,11543.0,10887.0,10792.0,10887.0,11118.0
colorectal,140.0,60.0,60.0,60.0,140.0
cptac,,,,,
ctrpv2,309401.0,300507.0,295742.0,299698.0,300616.0
fimm,2663.0,2457.0,2457.0,2457.0,2611.0
gcsi,13398.0,12506.0,12338.0,12506.0,13112.0
gdscv1,247753.0,245220.0,241999.0,241240.0,242570.0
gdscv2,115440.0,114373.0,112829.0,112523.0,113133.0
hcmi,,,,,
liver,4453.0,4453.0,4453.0,4453.0,4453.0
mpnst,272.0,193.0,184.0,191.0,184.0
nci60,2960756.0,2329149.0,2329132.0,2329149.0,2784474.0
novartis,1766.0,1734.0,1734.0,1723.0,1723.0
pancreatic,190.0,190.0,185.0,185.0,185.0
prism,638983.0,632078.0,630672.0,632078.0,636226.0
sarcoma,275.0,234.0,187.0,,
