project_id	case_id	case_submitter_id	sample_id	sample_submitter_id	portion_id	portion_submitter_id	analyte_id	analyte_submitter_id	a260_a280_ratio	amount	analyte_quantity	analyte_type	analyte_type_id	analyte_volume	concentration	experimental_protocol_type	normal_tumor_genotype_snp_match	ribosomal_rna_28s_16s_ratio	rna_integrity_number	spectrophotometer_method	state	well_number
HCMI-CMDC	0286c31b-a704-4d7d-99e3-0bc4e8975b8b	HCM-CSHL-0084-C25	06c1a6af-3c39-4454-9667-d3b1b3f68eaa	HCM-CSHL-0084-C25-85A	9fe19075-7ffc-58bd-aa63-aa6612fc3560	'--	1e1213a7-4c2b-401f-acf2-38ecd6a084b7	HCM-CSHL-0084-C25-85A-01R	1.97	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	1.53	8.5	UV Spec	released	'--
HCMI-CMDC	0286c31b-a704-4d7d-99e3-0bc4e8975b8b	HCM-CSHL-0084-C25	1483d5e0-9037-4c92-aa5d-c655666af41e	HCM-CSHL-0084-C25-85B	2eb9f499-52b9-57a2-bb72-2ba37e40d279	'--	f4a22f4b-5279-42e7-bfd6-f14b23c89268	HCM-CSHL-0084-C25-85B-01D	'--	'--	'--	DNA	D	'--	0.1	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0286c31b-a704-4d7d-99e3-0bc4e8975b8b	HCM-CSHL-0084-C25	77b0c06f-7407-4af2-9cc0-a9160c105043	HCM-CSHL-0084-C25-11A	e4a3579c-2d21-4620-8d5a-2966cd84c4cd	HCM-CSHL-0084-C25-11A-11	b86795d2-93d6-47ac-b197-ae7c4a3effcd	HCM-CSHL-0084-C25-11A-11D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	0286c31b-a704-4d7d-99e3-0bc4e8975b8b	HCM-CSHL-0084-C25	b253895e-9f1a-4aef-9353-be454fac8062	HCM-CSHL-0084-C25-01A	11c9a726-6aab-4259-9d78-dfebf9cd0249	HCM-CSHL-0084-C25-01A-11	684a5a28-dfdc-4554-837f-3fb03d2ed23f	HCM-CSHL-0084-C25-01A-11R	1.94	'--	'--	RNA	R	'--	0.17	mirVana (Allprep DNA) RNA	Yes	1.5	7.8	UV Spec	released	'--
HCMI-CMDC	0286c31b-a704-4d7d-99e3-0bc4e8975b8b	HCM-CSHL-0084-C25	b253895e-9f1a-4aef-9353-be454fac8062	HCM-CSHL-0084-C25-01A	11c9a726-6aab-4259-9d78-dfebf9cd0249	HCM-CSHL-0084-C25-01A-11	92b26409-6096-4b23-96e3-cbd63fb22580	HCM-CSHL-0084-C25-01A-11D	'--	'--	'--	DNA	D	'--	0.14	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	02f6d684-b6b5-419a-b0e1-b74d0a384a30	HCM-BROD-0408-C71	29e0bdfe-1618-41dc-90da-03907199151d	HCM-BROD-0408-C71-85R	3982b7ac-fa34-5854-b16f-a8b5430c37e9	'--	30773bae-0ca1-467c-becc-574e3c9e7b5d	HCM-BROD-0408-C71-85R-01D	'--	'--	'--	DNA	D	'--	0.05	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	02f6d684-b6b5-419a-b0e1-b74d0a384a30	HCM-BROD-0408-C71	29e0bdfe-1618-41dc-90da-03907199151d	HCM-BROD-0408-C71-85R	a71c3f14-e430-54c7-8760-06abea12e890	'--	6e6b33fb-ce09-4c2c-a372-d468bdc1a11c	HCM-BROD-0408-C71-85R-01R	1.91	'--	'--	RNA	R	'--	0.04	mirVana (Allprep DNA) RNA	Yes	2.04	9.8	UV Spec	released	'--
HCMI-CMDC	02f6d684-b6b5-419a-b0e1-b74d0a384a30	HCM-BROD-0408-C71	d30766c0-22b9-4f63-8990-609b81bc2cfe	HCM-BROD-0408-C71-10A	0ce874cd-4701-4746-822f-5f60587c6f11	HCM-BROD-0408-C71-10A-01	9ef57718-b3f0-48d7-868e-c48452c5464a	HCM-BROD-0408-C71-10A-01D	'--	'--	'--	DNA	D	'--	0.1	Pre-extracted DNA received by TSS	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	03974dc9-0162-4de8-9897-09f88693681a	HCM-BROD-0334-C43	cd88baf4-b6eb-4df5-9b42-d55f3aad739c	HCM-BROD-0334-C43-85M	a8bc1f7b-7ea5-51da-8073-bbc16760d84d	'--	9747b614-624b-410a-8b94-854a16cd143a	HCM-BROD-0334-C43-85M-01D	'--	'--	'--	DNA	D	'--	0.17	aDNA Preparation Type	Yes	'--	'--	PicoGreen	released	'--
HCMI-CMDC	03974dc9-0162-4de8-9897-09f88693681a	HCM-BROD-0334-C43	cd88baf4-b6eb-4df5-9b42-d55f3aad739c	HCM-BROD-0334-C43-85M	056e4665-23db-5b99-9362-122293317710	'--	bcea1ed5-b9cb-4a92-ad80-598d8a223fb3	HCM-BROD-0334-C43-85M-01R	1.77	'--	'--	RNA	R	'--	0.15	mirVana (Allprep DNA) RNA	Yes	0.78	6.8	UV Spec	released	'--
