treatmentid	sampleid	Dose	Response
Ivosidenib	130695	0.0021	75.733
Ivosidenib	130695	0.0052	63.094
Ivosidenib	130695	0.01	75.935
Ivosidenib	130695	0.0299	87.159
Ivosidenib	130695	0.0798	78.766
Ivosidenib	130695	0.1995	68.554
Ivosidenib	130695	0.4988	55.511
Ivosidenib	130695	0.5087	78.261
Ivosidenib	130695	1.496	98.382
Ivosidenib	130695	3.99	103.134
Ivosidenib	130695	9.975	69.161
Ivosidenib	130695	24.94	79.171
Ivosidenib	140005	0.0021	102.26
Ivosidenib	140005	0.0052	103.421
Ivosidenib	140005	0.01	80.321
Ivosidenib	140005	0.0299	75.549
Ivosidenib	140005	0.0798	88.601
Ivosidenib	140005	0.1995	69.061
Ivosidenib	140005	0.4988	82.391
Ivosidenib	140005	0.5087	77.72
Ivosidenib	140005	1.496	87.364
Ivosidenib	140005	3.99	80.573
Ivosidenib	140005	9.975	70.5
Ivosidenib	140005	24.94	60.023
Ivosidenib	140899	0.0021	99.46
Ivosidenib	140899	0.00519	93.85
Ivosidenib	140899	0.00998	91.56
Ivosidenib	140899	0.02992	95.43
Ivosidenib	140899	0.0798	117.14
Ivosidenib	140899	0.1995	99.74
Ivosidenib	140899	0.5087	109.05
Ivosidenib	140899	0.9975	100.73
Ivosidenib	140899	2.993	108.97
Ivosidenib	140899	7.98	95.15
Ivosidenib	140899	19.95	102.64
Ivosidenib	140899	49.88	107.09
Ivosidenib	140903	0.0021	97.77
Ivosidenib	140903	0.00519	95.54
Ivosidenib	140903	0.00998	97.35
Ivosidenib	140903	0.02992	92.57
Ivosidenib	140903	0.0798	98.17
Ivosidenib	140903	0.1995	98.91
Ivosidenib	140903	0.5087	96.69
Ivosidenib	140903	0.9975	94.03
Ivosidenib	140903	2.993	95.38
Ivosidenib	140903	7.98	88.49
Ivosidenib	140903	19.95	83.37
Ivosidenib	140903	49.88	79.47
Ivosidenib	150870	0.0021	88.47
Ivosidenib	150870	0.00519	91.48
Ivosidenib	150870	0.00998	92.47
Ivosidenib	150870	0.02992	93.69
Ivosidenib	150870	0.0798	95.44
Ivosidenib	150870	0.1995	89.13
Ivosidenib	150870	0.5087	87.87
Ivosidenib	150870	0.9975	93.05
Ivosidenib	150870	2.993	87.04
Ivosidenib	150870	7.98	90.96
Ivosidenib	150870	19.95	89.41
Ivosidenib	150870	49.88	92.84
Ivosidenib	150918	0.0021	80
Ivosidenib	150918	0.00519	81.95
Ivosidenib	150918	0.00998	80.45
Ivosidenib	150918	0.02992	71.79
Ivosidenib	150918	0.0798	86.33
Ivosidenib	150918	0.1995	96.19
Ivosidenib	150918	0.5087	87.88
Ivosidenib	150918	0.9975	78.17
Ivosidenib	150918	2.993	105.36
Ivosidenib	150918	7.98	79.51
Ivosidenib	150918	19.95	96.84
Ivosidenib	150918	49.88	91.33
Ivosidenib	151009	0.0021	76.79
Ivosidenib	151009	0.00519	95.17
Ivosidenib	151009	0.00998	91.69
Ivosidenib	151009	0.02992	85.52
Ivosidenib	151009	0.0798	82.75
Ivosidenib	151009	0.1995	84.52
Ivosidenib	151009	0.5087	88.07
Ivosidenib	151009	0.9975	102.1
Ivosidenib	151009	2.993	89.79
Ivosidenib	151009	7.98	90.29
Ivosidenib	151009	19.95	97.38
Ivosidenib	151009	49.88	80.68
Ivosidenib	151492	0.0021	84.52
Ivosidenib	151492	0.00519	123.3
Ivosidenib	151492	0.00998	82.75
Ivosidenib	151492	0.02992	67.51
Ivosidenib	151492	0.0798	124.02
Ivosidenib	151492	0.1995	119.91
Ivosidenib	151492	0.5087	82.18
Ivosidenib	151492	0.9975	140.06
Ivosidenib	151492	2.993	101.77
Ivosidenib	151492	7.98	134.66
Ivosidenib	151492	19.95	116.44
Ivosidenib	151492	49.88	113.06
Ivosidenib	151494	0.0021	66.34
Ivosidenib	151494	0.00519	93.85
Ivosidenib	151494	0.00998	81.24
Ivosidenib	151494	0.02992	88.42
Ivosidenib	151494	0.0798	74.63
Ivosidenib	151494	0.1995	80.22
Ivosidenib	151494	0.5087	110.27
Ivosidenib	151494	0.9975	99.93
Ivosidenib	151494	2.993	71.64
Ivosidenib	151494	7.98	81.84
Ivosidenib	151494	19.95	88.15
Ivosidenib	151494	49.88	50.87
Ivosidenib	160025	0.0021	99.9
Ivosidenib	160025	0.00519	95.28
Ivosidenib	160025	0.00998	102.88
Ivosidenib	160025	0.02992	89.81
Ivosidenib	160025	0.0798	95.67
Ivosidenib	160025	0.1995	94.77
Ivosidenib	160025	0.5087	100.99
Ivosidenib	160025	0.9975	90.76
Ivosidenib	160025	2.993	96.76
Ivosidenib	160025	7.98	95.61
Ivosidenib	160025	19.95	102.39
Ivosidenib	160025	49.88	106.64
Ivosidenib	160312	0.0021	93.34
Ivosidenib	160312	0.00519	92.77
Ivosidenib	160312	0.00998	87.4
Ivosidenib	160312	0.02992	95.73
Ivosidenib	160312	0.0798	84.14
Ivosidenib	160312	0.1995	108.65
Ivosidenib	160312	0.5087	80.32
Ivosidenib	160312	0.9975	107.03
Ivosidenib	160312	2.993	94.92
Ivosidenib	160312	7.98	86.68
Ivosidenib	160312	19.95	76.75
Ivosidenib	160312	49.88	64.93
Ivosidenib	160545	0.0021	99.5
Ivosidenib	160545	0.00519	85.35
Ivosidenib	160545	0.00998	116.54
Ivosidenib	160545	0.02992	101.66
Ivosidenib	160545	0.0798	111.5
Ivosidenib	160545	0.1995	108.3
Ivosidenib	160545	0.5087	106.91
Ivosidenib	160545	0.9975	113.7
Ivosidenib	160545	2.993	80.94
Ivosidenib	160545	7.98	99.75
Ivosidenib	160545	19.95	107.68
Ivosidenib	160545	49.88	106.36
Ivosidenib	160616	0.0021	84.6
Ivosidenib	160616	0.00519	98.41
Ivosidenib	160616	0.00998	100.6
Ivosidenib	160616	0.02992	137.76
Ivosidenib	160616	0.0798	111.25
Ivosidenib	160616	0.1995	110.31
Ivosidenib	160616	0.5087	101.32
Ivosidenib	160616	0.9975	115.25
Ivosidenib	160616	2.993	97.05
Ivosidenib	160616	7.98	105.4
Ivosidenib	160616	19.95	107.74
Ivosidenib	160616	49.88	95.51
Ivosidenib	160622	0.0021	95.63
Ivosidenib	160622	0.00519	104.48
Ivosidenib	160622	0.00998	100.91
Ivosidenib	160622	0.02992	98.79
Ivosidenib	160622	0.0798	90.64
Ivosidenib	160622	0.1995	88.88
Ivosidenib	160622	0.5087	95.36
Ivosidenib	160622	0.9975	103.03
Ivosidenib	160622	2.993	96.49
Ivosidenib	160622	7.98	93.3
Ivosidenib	160622	19.95	98.75
Ivosidenib	160622	49.88	87.73
Ivosidenib	160778	0.0021	89.64
Ivosidenib	160778	0.00519	81.2
Ivosidenib	160778	0.00998	78.25
Ivosidenib	160778	0.02992	70.44
Ivosidenib	160778	0.0798	74.27
Ivosidenib	160778	0.1995	83.4
Ivosidenib	160778	0.5087	79.41
Ivosidenib	160778	0.9975	77.39
