"common_name","cancer_type","other_names","species","improve_sample_id","id_source","other_id","model_type"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR-3","Homo sapiens (Human)",1,"DepMap","ACH-000001","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR-3","Homo sapiens (Human)",1,"Sanger","SIDM00105","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR-3","Homo sapiens (Human)",1,"CCLE","NIHOVCAR3_OVARY","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR-3","Homo sapiens (Human)",1,"COSMIC","905933","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR-3","Homo sapiens (Human)",1,"WTSI","2201","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR-3","Homo sapiens (Human)",1,"Cellosaurus","CVCL_0465","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar-3","Homo sapiens (Human)",1,"DepMap","ACH-000001","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar-3","Homo sapiens (Human)",1,"Sanger","SIDM00105","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar-3","Homo sapiens (Human)",1,"CCLE","NIHOVCAR3_OVARY","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar-3","Homo sapiens (Human)",1,"COSMIC","905933","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar-3","Homo sapiens (Human)",1,"WTSI","2201","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","Ovcar-3","Homo sapiens (Human)",1,"Cellosaurus","CVCL_0465","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR 3","Homo sapiens (Human)",1,"DepMap","ACH-000001","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR 3","Homo sapiens (Human)",1,"Sanger","SIDM00105","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR 3","Homo sapiens (Human)",1,"CCLE","NIHOVCAR3_OVARY","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR 3","Homo sapiens (Human)",1,"COSMIC","905933","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR 3","Homo sapiens (Human)",1,"WTSI","2201","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR 3","Homo sapiens (Human)",1,"Cellosaurus","CVCL_0465","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR.3","Homo sapiens (Human)",1,"DepMap","ACH-000001","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR.3","Homo sapiens (Human)",1,"Sanger","SIDM00105","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR.3","Homo sapiens (Human)",1,"CCLE","NIHOVCAR3_OVARY","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR.3","Homo sapiens (Human)",1,"COSMIC","905933","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR.3","Homo sapiens (Human)",1,"WTSI","2201","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","OVCAR.3","Homo sapiens (Human)",1,"Cellosaurus","CVCL_0465","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:OVCAR-3","Homo sapiens (Human)",1,"DepMap","ACH-000001","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:OVCAR-3","Homo sapiens (Human)",1,"Sanger","SIDM00105","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:OVCAR-3","Homo sapiens (Human)",1,"CCLE","NIHOVCAR3_OVARY","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:OVCAR-3","Homo sapiens (Human)",1,"COSMIC","905933","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:OVCAR-3","Homo sapiens (Human)",1,"WTSI","2201","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:OVCAR-3","Homo sapiens (Human)",1,"Cellosaurus","CVCL_0465","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:Ovcar-3","Homo sapiens (Human)",1,"DepMap","ACH-000001","cell line"
"NIH:OVCAR-3","High-Grade Serous Ovarian Cancer","NIH:Ovcar-3","Homo sapiens (Human)",1,"Sanger","SIDM00105","cell line"
